question,answer,reason,transcript_id
How satisfied are you with the ABC degree program on a scale of 1-10?,7,"It's been pretty good overall, but there are definitely some areas that could be improved",1
How satisfied are you with the ABC degree program on a scale of 1-10?,9,I'm really happy with my choice to study ABC here,2
How satisfied are you with the ABC degree program on a scale of 1-10?,5,It's been okay but not what I expected,3
How satisfied are you with the ABC degree program on a scale of 1-10?,8,"Really enjoying it overall, though there are always little things that could be better",4
"What aspects of the program do you find most satisfying, and what would you like to see improved?",I really like the practical components and the variety of topics we cover,practical components and variety of topics are satisfying aspects,1
"What aspects of the program do you find most satisfying, and what would you like to see improved?","sometimes the workload feels uneven between semesters, and some courses feel disconnected from each other",these are areas that need improvement,1
"What aspects of the program do you find most satisfying, and what would you like to see improved?",The professors are fantastic and really accessible,The professors are fantastic and really accessible,2
"What aspects of the program do you find most satisfying, and what would you like to see improved?",The curriculum feels current and relevant,The curriculum feels current and relevant,2
"What aspects of the program do you find most satisfying, and what would you like to see improved?",maybe we could use more networking opportunities with industry professionals,maybe we could use more networking opportunities with industry professionals,2
"What aspects of the program do you find most satisfying, and what would you like to see improved?",The theory is solid,The theory is solid,3
"What aspects of the program do you find most satisfying, and what would you like to see improved?",theres way too much theory and not enough hands-on experience,Improvement needed in theory-practice balance,3
"What aspects of the program do you find most satisfying, and what would you like to see improved?",some professors seem out of touch with whats actually happening in the field right now,Professors need to be more current with the field,3
"What aspects of the program do you find most satisfying, and what would you like to see improved?",I love the research opportunities,research opportunities are satisfying,4
"What aspects of the program do you find most satisfying, and what would you like to see improved?",how supportive the academic community is here,the academic community is supportive,4
"What aspects of the program do you find most satisfying, and what would you like to see improved?",The facilities are also top-notch,facilities are top-notch,4
"What aspects of the program do you find most satisfying, and what would you like to see improved?",I wish there were more elective options,wants more elective options for improvement,4
"What aspects of the program do you find most satisfying, and what would you like to see improved?",maybe some courses could be offered more frequently,wants courses offered more frequently for improvement,4
Do you prefer courses worth 5 credit points or 10 credit points?,5 CP courses,The 10 CP ones feel too overwhelming and its harder to balance multiple subjects when one takes up so much time,1
Do you prefer courses worth 5 credit points or 10 credit points?,10 CP courses,You can really dive deep into a topic and it feels more immersive,2
Do you prefer courses worth 5 credit points or 10 credit points?,10 CP courses,fewer courses to juggle at once,2
Do you prefer courses worth 5 credit points or 10 credit points?,5 CP courses,"When a 10 CP course is bad, youre stuck with it for the whole semester and it drags down everything else",3
Do you prefer courses worth 5 credit points or 10 credit points?,5 CP courses,"At least with 5 CP courses, the damage is more contained",3
Do you prefer courses worth 5 credit points or 10 credit points?,No strong preference,5 CP courses give you more variety,4
Do you prefer courses worth 5 credit points or 10 credit points?,No strong preference,10 CP courses let you really get into the nitty-gritty,4
Do you prefer courses worth 5 credit points or 10 credit points?,A mix is best,Both have their merits,4
Do you prefer courses worth 5 credit points or 10 credit points?,10 CP courses,It feels more rewarding to invest time and go deeper into one subject rather than splitting attention between too many 5 CP courses,5
Do you prefer courses worth 5 credit points or 10 credit points?,10 CP courses,It also makes scheduling easier,5
Do you prefer classes taught in English or German?,I actually like having both options available,English is good for accessing international research and resources,1
Do you prefer classes taught in English or German?,I actually like having both options available,German classes sometimes allow for deeper discussion since its my native language,1
Do you prefer classes taught in English or German?,"English, definitely","Im planning to work internationally after graduation, so its good practice",2
Do you prefer classes taught in English or German?,"English, definitely","Most of the literature and materials are in English anyway, so it feels more natural to continue in that language",2
Do you prefer classes taught in English or German?,"German, I guess","when youre struggling with difficult concepts, its easier to understand and participate in your native language",3
Do you prefer classes taught in English or German?,"German, I guess",Some of the English classes feel like youre fighting the language barrier on top of the actual content,3
Do you prefer classes taught in English or German?,I actually like having both options available,German classes sometimes allow for deeper discussion since its my native language,4
Do you prefer classes taught in English or German?,I actually like having both options available,English courses often have better international guest lecturers and more diverse perspectives in the classroom,4
Do you prefer classes taught in English or German?,I actually prefer English,"Im planning to work internationally after graduation, so its good practice",5
Do you prefer classes taught in English or German?,I actually prefer English,"Most of the literature and materials are in English anyway, so it feels more natural to continue in that language",5
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,Multiple assignments,It reduces stress and gives you a better chance to actually learn the material instead of just cramming everything at the end,1
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,One comprehensive final exam,I like having the whole semester to focus on learning without worrying about constant deadlines,2
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,One comprehensive final exam,Then I can really show what I've mastered in one comprehensive assessment,2
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,"Multiple assignments, but not too many. Maybe 2-3 throughout the semester",One big exam is too much pressure,3
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,"Multiple assignments, but not too many. Maybe 2-3 throughout the semester",Having an assignment due every other week is also exhausting,3
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,Multiple assignments,It keeps you engaged throughout the semester,4
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,Multiple assignments,You get feedback along the way to improve,4
Do you prefer multiple graded assignments throughout the semester or one comprehensive final exam?,Multiple assignments,"If you have a bad day during one assignment, it's not the end of the world like it would be with a single exam",4
"Overall, how have you found the structure and content of your courses this semester?","I think the content has been quite engaging, and the workload is manageable. Some courses are a bit theory-heavy, though. Id appreciate a bit more practical application, especially in the seminars.","The content is engaging and workload is manageable, but there's too much theory and not enough practical application",5
Would you feel comfortable if more advanced seminars were offered only in English?,"Yes, definitely","As long as theres some support for students who might struggle a bit with academic English, I think that would be a good move",5
How satisfied are you with the availability and responsiveness of the teaching staff?,"Overall, quite satisfied. Most professors respond to emails quickly and are open to questions during office hours. However, in larger lectures, its sometimes hard to get individual feedback unless you make an extra effort.","Professors are responsive and available, but individual feedback is difficult to obtain in larger lectures",5
"How do you feel about the use of digital platforms like Moodle, Zoom, or lecture recordings?","I really appreciate recorded lectures and Moodle resources. It helps me review the material at my own pace. Zoom is okay for seminars, but I still prefer in-person discussions when possible.","Recorded lectures and Moodle help with self-paced review, while in-person discussions are preferred over Zoom for seminars",5
"Have you had enough opportunities to apply your knowledge in real-world settings, like internships, project work, or case studies?","Honestly, not really","I think more structured opportunitiesmaybe embedded internships or partnerships with companieswould be great. Right now, you really have to seek those out yourself",5
